Output dir: /Users/ethanhersch/Documents/Documents/Stanford/CS234/Wordle-Agent/results_entropy_rewards
Reward modes: ['shaped', 'green_only', 'no_step_penalty', 'info_gain', 'sparse']

======================================================================
Training entropy PPO with reward mode: shaped
Loading cached pattern matrix from pattern_matrix.npy
State dim:    301
Action dim:   2315
Device:       mps
Reward mode:  shaped
Model params: 225,666
Initial beta: 10.0
Training for 3000 episodes …

Ep      20 | Rew    1.88 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 80
Ep    1020 | Rew    1.76 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.01 | Steps 3875
Ep    1040 | Rew    1.64 | Win% 100.0 | Len 3.4 | Info 11.18b | Beta 10.01 | Steps 3943
Ep    1060 | Rew    1.59 | Win% 100.0 | Len 4.2 | Info 11.18b | Beta 10.01 | Steps 4026
Ep    1080 | Rew    1.57 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.01 | Steps 4105
Ep    1100 | Rew    1.51 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.01 | Steps 4180
Ep    1120 | Rew    1.59 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.01 | Steps 4256
Ep    1140 | Rew    1.58 | Win% 100.0 | Len 4.1 | Info 11.18b | Beta 10.01 | Steps 4338
Ep    1160 | Rew    1.53 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.01 | Steps 4412
Ep    1180 | Rew    1.51 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.01 | Steps 4487
Ep    1200 | Rew    1.41 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.01 | Steps 4565
Ep    1220 | Rew    1.48 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.01 | Steps 4639
Ep    1240 | Rew    1.41 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.01 | Steps 4717
Ep    1260 | Rew    1.68 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.01 | Steps 4793
Ep    1280 | Rew    1.54 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.01 | Steps 4868
Ep    1300 | Rew    1.62 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.01 | Steps 4939
Ep    1320 | Rew    1.62 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.01 | Steps 5011
Ep    1340 | Rew    1.69 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.01 | Steps 5089
Ep    1360 | Rew    1.73 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.02 | Steps 5161
Ep    1380 | Rew    1.65 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.02 | Steps 5236
