Output dir: /Users/ethanhersch/Documents/Documents/Stanford/CS234/Wordle-Agent/results_entropy_rewards
Reward modes: ['shaped', 'green_only', 'no_step_penalty', 'info_gain', 'sparse']

======================================================================
Training entropy PPO with reward mode: shaped
Loading cached pattern matrix from pattern_matrix.npy
State dim:    301
Action dim:   2315
Device:       mps
Reward mode:  shaped
Model params: 225,666
Initial beta: 10.0
Training for 3000 episodes …

Ep      20 | Rew    1.88 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 80
Ep    1520 | Rew    1.00 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.02 | Steps 5764
Ep    1540 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.02 | Steps 5840
Ep    1560 | Rew    1.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.02 | Steps 5909
Ep    1580 | Rew    1.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.02 | Steps 5979
Ep    1600 | Rew    0.95 | Win%  95.0 | Len 3.7 | Info 11.18b | Beta 10.02 | Steps 6053
Ep    1620 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.02 | Steps 6128
Ep    1640 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.02 | Steps 6204
Ep    1660 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.02 | Steps 6279
Ep    1680 | Rew    1.00 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.02 | Steps 6358
Ep    1700 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.02 | Steps 6434
Ep    1720 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.02 | Steps 6509
Ep    1740 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.02 | Steps 6586
Ep    1760 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.03 | Steps 6663
Ep    1780 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.03 | Steps 6741
Ep    1800 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.03 | Steps 6814
Ep    1820 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.03 | Steps 6892
Ep    1840 | Rew    1.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.03 | Steps 6962
Ep    1860 | Rew    1.00 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.03 | Steps 7036
Ep    1880 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.03 | Steps 7112
Ep    1900 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.03 | Steps 7185
Ep    1920 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.03 | Steps 7258
Ep    1940 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.03 | Steps 7336
Ep    1960 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.03 | Steps 7414
Ep    1980 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.03 | Steps 7490
Ep    2000 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.03 | Steps 7567
Ep    2020 | Rew    1.00 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.03 | Steps 7641
Ep    2040 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.03 | Steps 7718
Ep    2060 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.03 | Steps 7790
Ep    2080 | Rew    1.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.03 | Steps 7861
Ep    2100 | Rew    1.00 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.03 | Steps 7942
Ep    2120 | Rew    1.00 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.03 | Steps 8016
Ep    2140 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.03 | Steps 8088
Ep    2160 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.03 | Steps 8161
Ep    2180 | Rew    1.00 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.03 | Steps 8240
Ep    2200 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.03 | Steps 8316
Ep    2220 | Rew    1.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.03 | Steps 8387
Ep    2240 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.03 | Steps 8462
Ep    2260 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.03 | Steps 8539
Ep    2280 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.03 | Steps 8614
Ep    2300 | Rew    1.00 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.03 | Steps 8693
Ep    2320 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.03 | Steps 8766
Ep    2340 | Rew    1.00 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.03 | Steps 8846
Ep    2360 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.03 | Steps 8922
Ep    2380 | Rew    1.00 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.03 | Steps 9003
Ep    2400 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.03 | Steps 9078
Ep    2420 | Rew    1.00 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.03 | Steps 9152
Ep    2440 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.03 | Steps 9225
Ep    2460 | Rew    0.95 | Win%  95.0 | Len 4.1 | Info 11.18b | Beta 10.03 | Steps 9307
Ep    2480 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.03 | Steps 9383
Ep    2500 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.03 | Steps 9458
Ep    2520 | Rew    1.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.03 | Steps 9529
Ep    2540 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.03 | Steps 9605
Ep    2560 | Rew    1.00 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.03 | Steps 9684
Ep    2580 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.04 | Steps 9756
Ep    2600 | Rew    1.00 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.04 | Steps 9830
Ep    2620 | Rew    1.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.04 | Steps 9900
Ep    2640 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.04 | Steps 9976
Ep    2660 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.04 | Steps 10051
Ep    2680 | Rew    1.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.04 | Steps 10122
Ep    2700 | Rew    1.00 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.04 | Steps 10201
Ep    2720 | Rew    1.00 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.04 | Steps 10275
Ep    2740 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.04 | Steps 10348
Ep    2760 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.04 | Steps 10420
Ep    2780 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.04 | Steps 10493
Ep    2800 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.04 | Steps 10569
Ep    2820 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.04 | Steps 10641
Ep    2840 | Rew    0.95 | Win%  95.0 | Len 3.6 | Info 11.18b | Beta 10.04 | Steps 10713
Ep    2860 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.04 | Steps 10789
Ep    2880 | Rew    1.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.04 | Steps 10859
Ep    2900 | Rew    1.00 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.04 | Steps 10939
Ep    2920 | Rew    1.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.04 | Steps 11010
Ep    2940 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.04 | Steps 11083
Ep    2960 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.04 | Steps 11156
Ep    2980 | Rew    1.00 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.04 | Steps 11235
Ep    3000 | Rew    1.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.04 | Steps 11306

Training done. Best win rate: 100.0%
Final beta: 10.04
Evaluating sparse using model: /Users/ethanhersch/Documents/Documents/Stanford/CS234/Wordle-Agent/results_entropy_rewards/entropy_ppo_sparse_best.pt
Loading cached pattern matrix from pattern_matrix.npy
Loaded model with beta = 10.00

RL Agent Evaluation (100 games):
  Win rate:    100.0%
  Avg rounds:  3.45
  Avg info:    11.18 bits
  Entropy agreement: 85.2% (294/345 guesses)
  1: 0  2: 5  3: 50  4: 40  5: 5  6: 0  fail: 0

Saved:
  - /Users/ethanhersch/Documents/Documents/Stanford/CS234/Wordle-Agent/results_entropy_rewards/win_rate_comparison.png
  - /Users/ethanhersch/Documents/Documents/Stanford/CS234/Wordle-Agent/results_entropy_rewards/summary.json
